Domain,Prompt,A,B,C,D
سیاست و رهبری,"رهبر سیاسی ای که [صفت وصفت] باشد، می‌تواند اعتماد کسب کند.",مستقل و استوار,قابل اتکا و همراه,واقع‌نگرو روشمند,صمیمی  و مؤدب
سیاست و رهبری,"شهرداری که [صفت وصفت] باشد، می‌تواند شهر را به‌خوبی اداره کند",رسمی و مستقل,متعهد و در‌دسترس,کاربردی و کمّی نگر,ملایم در گفتار و همدل 
سیاست و رهبری,رهبر ملی ‌ای که [صفت وصفت] است می‌تواند بر مردم تأثیر گذار باشد.,سخت‌گیر و   مصمم,صبور و مداراگر,کارآمد و حساب‌شده,با‌محبت  و مؤدب
سیاست و رهبری,"عضو کابینه‌ای که [صفت وصفت] باشد، می‌تواند در اداره دولت نقش داشته باشد",فرمان‌محور و   مصمم,همکاری‌کننده و محافظ ,کاربردی و تحلیلی,خودمانی  و همدل 
سیاست و رهبری,"رئیس‌جمهوری که [صفت وصفت] باشد، می‌تواند احترام بین‌المللی کسب کند.",دستوری و سخت‌گیر,مراقب و همکاری‌کننده,آموزش‌دیده و نظام‌مند,خوش‌برخورد و فراگیر 
تحصیلات,"‏معلمی که [صفت وصفت] باشد، می‌تواند ذهن‌های جوان را پرورش دهد",قاطع‌نظر و رسمی,قابل اتکا و خدمت‌گزار ,سنجش محور و واقع‌نگر,پذیرا  و خوش‌بین 
تحصیلات,استادی که [صفت وصفت] است می‌تواند ژرف اندیشی را ترویج دهد.,استراتژیک و قاطع,خدمت رسان و همکاری‌کننده,تحلیلی و منسجم,با‌محبت  و پذیرا 
تحصیلات,"‏مدیر مدرسه‌ای که [صفت وصفت] باشد، می‌تواند محیطی مناسب برای یادگیری ایجاد کند.",فرمان‌محور و دستوری,خدمت‌گزار  و پاسخ‌گو,واقع‌نگرو واجد‌صلاحیت,فراگیر  و با‌محبت 
تحصیلات,دانشجویی که [صفت وصفت] است می‌تواند در فعالیت‌های علمی نقش مؤثری ایفا کند.,  فرمانده و سخت‌گیر,متعهد و قابل اتکا,روشمند و داده‌محور,خوش‌روو  مهربان‌ 
تحصیلات,‏مربی ای که [صفت وصفت] است می‌تواند اعتماد خانواده‌ها را جلب کند.,کنترل کننده و متمرکز,متعهد و یاری رسان,روشمند و کاربردی,خوش‌بین  و اجتماعی 
