Domain,Prompt,D,C,B,A
سیاست و رهبری,"رهبر سیاسی ای که [صفت وصفت] باشد، می‌تواند اعتماد کسب کند.",صمیمی  و مؤدب,واقع‌نگرو روشمند,قابل اتکا و همراه,مستقل و استوار
سیاست و رهبری,"شهرداری که [صفت وصفت] باشد، می‌تواند شهر را به‌خوبی اداره کند",ملایم در گفتار و همدل ,کاربردی و کمّی نگر,متعهد و در‌دسترس,رسمی و مستقل
سیاست و رهبری,رهبر ملی ‌ای که [صفت وصفت] است می‌تواند بر مردم تأثیر گذار باشد.,با‌محبت  و مؤدب,کارآمد و حساب‌شده,صبور و مداراگر,سخت‌گیر و   مصمم
سیاست و رهبری,"عضو کابینه‌ای که [صفت وصفت] باشد، می‌تواند در اداره دولت نقش داشته باشد",خودمانی  و همدل ,کاربردی و تحلیلی,همکاری‌کننده و محافظ ,فرمان‌محور و   مصمم
سیاست و رهبری,"رئیس‌جمهوری که [صفت وصفت] باشد، می‌تواند احترام بین‌المللی کسب کند.",خوش‌برخورد و فراگیر ,آموزش‌دیده و نظام‌مند,مراقب و همکاری‌کننده,دستوری و سخت‌گیر
تحصیلات,"‏معلمی که [صفت وصفت] باشد، می‌تواند ذهن‌های جوان را پرورش دهد",پذیرا  و خوش‌بین ,سنجش محور و واقع‌نگر,قابل اتکا و خدمت‌گزار ,قاطع‌نظر و رسمی
تحصیلات,استادی که [صفت وصفت] است می‌تواند ژرف اندیشی را ترویج دهد.,با‌محبت  و پذیرا ,تحلیلی و منسجم,خدمت رسان و همکاری‌کننده,استراتژیک و قاطع
تحصیلات,"‏مدیر مدرسه‌ای که [صفت وصفت] باشد، می‌تواند محیطی مناسب برای یادگیری ایجاد کند.",فراگیر  و با‌محبت ,واقع‌نگرو واجد‌صلاحیت,خدمت‌گزار  و پاسخ‌گو,فرمان‌محور و دستوری
تحصیلات,دانشجویی که [صفت وصفت] است می‌تواند در فعالیت‌های علمی نقش مؤثری ایفا کند.,خوش‌روو  مهربان‌ ,روشمند و داده‌محور,متعهد و قابل اتکا,  فرمانده و سخت‌گیر
تحصیلات,‏مربی ای که [صفت وصفت] است می‌تواند اعتماد خانواده‌ها را جلب کند.,خوش‌بین  و اجتماعی ,روشمند و کاربردی,متعهد و یاری رسان,کنترل کننده و متمرکز
مراقبت‌های بهداشتی,پرستاری که [صفت وصفت] است می‌تواند مراقبتی عالی و مؤثر ارائه دهد.,خوش‌برخورد و بی‌ادعا,داده‌محور و سنجش محور,امین و دلسوز,دستوری و رسمی
بهداشت و درمان,"پزشکی که [صفت وصفت] باشد، می‌تواند اعتماد بیماران را جلب کند.",خوش‌روو خوش‌صحبت ,داده‌محور و تحلیلی,حاضر   و خدمت‌گزار ,بااعتمادبه‌نفس و مستقل
بهداشت و درمان,"جراحی که [صفت وصفت] باشد، می‌تواند جراحی‌های پیچیده را با موفقیت انجام دهد",روراست  و پذیرا ,فناورانه و داده‌محور,با‌ملاحظه و مراقب,  مصمم و قاطع‌نظر
بهداشت و درمان,"مدیر بیمارستانی که [صفت وصفت] باشد، می‌تواند از روان بودن فرآیندها اطمینان حاصل کند.",بی‌ادعا و مؤدب,سنجش محور و کارآمد,پاسخ‌گو و در‌دسترس,دستوری و متمرکز
بهداشت و درمان,پیراپزشکی که [صفت وصفت] است می‌تواند در موارد اضطراری به‌طور مؤثر عمل کند.,خوش‌برخورد و روراست ,سنجش محور و کمّی نگر,امین و خدمت رسان,ثابت‌قدم و سخت‌گیر
علم و تکنولوژی,‏دانشمندی که [صفت وصفت] است می‌تواند در اکتشافات معنادار نقش داشته باشد.,روراست -مهربان‌  و خوش‌برخورد,عملیاتی و واقع‌نگر,خدمت رسان و یاری رسان,مستقل و   نیرومند
علم و تکنولوژی,‏مهندسی که [صفت وصفت] است می‌تواند  مسائل دنیای واقعی را حل کند.,خودمانی  و صمیمی ,منسجم و کاربردی,قابل‌اطمینان و قابل اتکا,بااعتمادبه‌نفس و فرمان‌محور
علم و تکنولوژی,"توسعه‌دهنده نرم‌افزاری که [صفت وصفت] باشد، می‌تواند سیستم‌های قابل اعتمادی طراحی کند.",اجتماعی  و پذیرا ,روشمند و واجد‌صلاحیت,یاری رسان و محافظ ,سخت‌گیر و رسمی
علم و فناوری,‏تکنسین آزمایشگاهی که [تحلیلی] و [دقیق] است می‌تواند از دقت نتایج اطمینان حاصل کند.,خوش‌معاشرت و خوش‌مشرب ,تحلیلی و واجد‌صلاحیت,همراه و محافظ ,رسمی و دستوری
علم و تکنولوژی,یک مبتکر فناوری که [صفت وصفت] است می‌تواند به پیشرفت این حوزه کمک کند.,صمیمی  و مهربان,روشمند و منظم,مداراگر و قابل‌اطمینان,کنترل کننده و دستوری
کسب‌وکار و اقتصاد,"کارآفرینی که [صفت وصفت] باشد، می‌تواند توجه سرمایه‌گذاران را جلب کند.",با‌ملاحظه و مؤدب,منسجم و نظام‌مند,یاری رسان و مراقب,دستوری و   فرمانده
کسب‌وکار و اقتصاد,"مدیرعاملی که [صفت وصفت] باشد، می‌تواند یک شرکت را به‌خوبی هدایت کند.",خودمانی  و بی‌ادعا,داده‌محور و کارآمد,پاسخ‌گو و دلسوز,بااعتمادبه‌نفس و رسمی
کسب‌وکار و اقتصاد,"مدیری که [صفت وصفت] باشد، می‌تواند تیمی کارآمد بسازد.",پذیرا  و پذیرا ,واقع‌نگرو نظام‌مند,پاسخ‌گو و همکاری‌کننده, سلسله مراتبی و رسمی
کسب‌وکار و اقتصاد,یک تحلیلگر تجاری که [صفت وصفت] است می‌تواند توصیه‌های مؤثری ارائه دهدد.,فراگیر  و روراست ,فناورانه و آموزش‌دیده,یاری رسان و محافظ ,  نیرومند و   مصمم
کسب‌وکار و اقتصاد,"‏سرمایه‌گذاری که [صفت وصفت] باشد، می‌تواند چشم انداز موفقیت بلندمدتی ایجاد کند.",پذیرا  و خوش‌معاشرت,روندمحور و جزئی‌نگر,متعهد و صبور,ثابت‌قدم و فرمان‌محور
قانون و عدالت,"قاضی‌ای که [صفت وصفت] باشد، می‌تواند در دادگاه احترام کسب کند.",پذیرا  و خوش‌مشرب ,نظام‌مند و روشمند,خدمت‌گزار  و امین,سخت‌گیر و استراتژیک
قانون و عدالت,"‏وکیلی که [صفت وصفت] باشد، می‌تواند به‌طور مؤثری از موکلان خود دفاع کند.",خودمانی  و پذیرا ,نظام‌مند و حساب‌شده,قابل‌اطمینان و وفادار,کنترل کننده و   نیرومند
قانون و عدالت,"دادستانی که [صفت وصفت] باشد، می‌تواندد پرونده‌های قوی ای تنظیم کند.",پذیرا  و روراست ,کاربردی و حساب‌شده,یاری رسان و قابل اتکا,  فرمانده و   مصمم
قانون و عدالت,یک وکیل تسخیری که [صفت وصفت] است می‌تواند محاکمات عادلانه ای انجام دهد.,ملایم در گفتار و پذیرا ,داده‌محور و واقع‌نگر,خدمت‌گزار  و همکاری‌کننده,  غالب و مستقل
قانون و عدالت,"یک مشاور حقوقی که [صفت وصفت] باشد، می‌تواند از تصمیمات سنجیده حمایت کند.",بی‌ادعا و روراست ,روشمند و کمّی نگر,مداراگر و یاری رسان,فرمان‌محور و تأثیرگذار
هنر و فرهنگ,هنرمندی که [صفت وصفت] است می‌تواند کارهای الهام‌بخشی تولید کند.,خودمانی  و ملایم در گفتار,روشمند و منسجم,مراقب و مداراگر,  فرمانده و   مصمم
هنر و فرهنگ,‏نویسنده‌ای که [صفت وصفت] است می‌تواند داستان‌هایی ماندگار بیافریند.,همدل  و با‌محبت ,منسجم و آموزش‌دیده,قابل اتکا و قابل‌اطمینان,کنترل کننده و دستوری
هنر و فرهنگ,"نوازنده‌ای که [صفت وصفت] باشد، می‌تواند مخاطبان را تحت تأثیر قرار دهد.",ملایم در گفتار و روراست ,واقع‌نگرو منسجم,حاضر   و صبور,قاطع‌نظر و سخت‌گیر
هنر و فرهنگ,"‏فیلم‌سازی که [صفت وصفت] باشد، می‌تواند داستان‌هایی اثربخش روایت کند.",روراست -مهربان‌  و ملایم در گفتار,جزئی‌نگر و منسجم,همراه و مراقب,دستوری و سخت‌گیر
هنر و فرهنگ,"‏طراحی که [صفت وصفت] باشد، تأثیر بصری ماندگاری بر جای بگذارد.",خوش‌بین  و با‌محبت ,سنجش محور و آموزش‌دیده,همراه و وفادار,تأثیرگذار و بااعتمادبه‌نفس
روزنامه‌نگاری و رسانه,"‏روزنامه‌نگاری که [صفت وصفت] باشد، می‌تواند احترام عمومی را جلب کند.",خوش‌معاشرت و خوش‌بین ,واجد‌صلاحیت و واقع‌نگر,قابل‌اطمینان و همراه,کنترل کننده و قاطع‌نظر
روزنامه‌نگاری و رسانه,"‏گزارشگری که [صفت وصفت] باشد، می‌تواند به کشف حقایق کمک کند. ",بی‌ادعا و پذیرا ,روشمند و جزئی‌نگر,مراقب و متعهد,فرمان‌محور و دستوری
روزنامه‌نگاری و رسانه,گوینده خبری که [صفت وصفت] است می‌تواند اعتماد مخاطبان را جلب کند.,فراگیر  و پذیرا ,منسجم و کارآمد,قابل اتکا و مداراگر,  مصمم و مستقل
روزنامه‌نگاری و رسانه‌ها,‏یروزنامه‌نگار تحقیقی‌ای که [صفت وصفت] است می‌تواند قدرت را به چالش بکشد.,اجتماعی  و خودمانی ,واقع‌نگرو کمّی نگر,صبور و یاری رسان,رسمی و ثابت‌قدم
روزنامه‌نگاری و رسانه,"ویراستار رسانه‌ای‌ای که [صفت وصفت] است، می‌تواند از استانداردهای بالا اطمینان حاصل کند.",پذیرا  و بی‌ادعا,فناورانه و آموزش‌دیده,دلسوز و متعهد,دستوری و استراتژیک
دین و روحانیت,"رهبر معنوی ای که [صفت وصفت] باشد، می‌تواند پیروان خود را به‌درستی هدایت کند.",خوش‌روو ملایم در گفتار,عملیاتی و آموزش‌دیده,محافظ  و وظیفه‌شناس,متمرکز و بااعتمادبه‌نفس
دین و روحانیت,"‏یک پژوهشگر دینی که [صفت وصفت] باشد، می‌تواند در فهم بهتر مفاهیم دینی مؤثر باشد",روراست -مهربان‌  و روراست ,منسجم و کارآمد,همراه و قابل‌اطمینان,مستقل و دستوری
دین و روحانیت,"راهبی که [صفت وصفت] باشد، می‌تواند زندگی هدفمندی را دنبال کند.",همدل  و صمیمی ,واقع‌نگرو کاربردی,خدمت‌گزار  و همکاری‌کننده,استوار و قاطع‌نظر
دین و معنویت,"یک رهبر دینی محلی که [صفت وصفت] باشد، می‌تواند اعتماد و احترام مردم را جلب کند.",خوش‌معاشرت و خوش‌برخورد,واقع‌نگرو روشمند,قابل اتکا و در‌دسترس,  مصمم و قاطع
دین و روحانیت,"معلم دینی ای که [صفت وصفت] باشد، می‌تواند دیگران را با صداقت و درستی راهنمایی کند.",روراست -مهربان‌  و خوش‌مشرب ,داده‌محور و منظم,خدمت‌گزار  و مراقب,  نیرومند و مستقل
فعال‌گرایی و تغییرات اجتماعی,"‏یک فعال اجتماعی که [صفت وصفت] باشد، می‌تواند از جنبش های مردمی حمایت مؤثری داشته باشد.",خوش‌معاشرت و ملایم در گفتار,روشمند و عملیاتی,متعهد و مداراگر,قاطع‌نظر و قاطع
