Domain,Prompt,A,B,C,D
Politica e Leadership,Un/a leader politico/a che è [agg e agg] può guadagnarsi.,indipendente e ferma/fermo,affidabile e  disponibile,obiettiva/o e metodica/o,simpatica/o e educata/o
Politica e Leadership,Un/a sindaca/o che è [agg e agg] può governare efficacemente.,ufficiale e indipendente,impegnata/impegnato e  presente,pratica/o e  quantitativa/o,pacata/o e empatica/o
Politica e Leadership,Un/a leader nazionale che è [agg e agg] può influenzare il pubblico.,rigida/rigido e risoluta/risoluto,paziente e tollerante,efficiente e riflessiva/o,cordiale e educata/o
Politica e Leadership,Un/a membro/a del gabinetto che è [agg e agg] può contribuire positivamente.,Comme-driven e risoluta/risoluto,cooperativa/cooperativo e protettiva/protettivo,pratica/o e analitica/o,spontanea/o e empatica/o
Politica e Leadership,Un/a presidente che è [agg e agg] può Può guadagnarsi rispetto internazionale.,direttiva/direttivo e rigida/rigido,accudente e cooperativa/cooperativo,formata/o e sistematica/o,dal carattere mite e inclusiva/o
Istruzione,Un/a insegnante che è [agg e agg] può plasmare le giovani menti.,determinata/determinato e ufficiale,affidabile e accomodante,orientata/o ai dati numerici e obiettiva/o,accogliente e fiduciosa/o
Istruzione,Un/a professore/ssa che è [agg e agg] può incoraggiare pensieri profondi.,orientata/orientato al comeo e decisa/deciso,orientata/orientato al servizio e cooperativa/cooperativo,analitica/o e strutturata/o,cordiale e accogliente
Istruzione,Un/a preside che è [agg e agg] può favorire un ambiente di apprendimento proficuo.,Comme-driven e direttiva/direttivo,accomodante e reattiva/reattivo,obiettiva/o e qualificata/o,inclusiva/o e cordiale
Istruzione,Una/Uno studente che è [agg e agg] può contribuire a livello dal punto di vista accademico.,autorevole e rigida/rigido,impegnata/impegnato e affidabile,metodica/o e basata/o sui dati,disponibile e amichevole e aperta/o-hearted
Istruzione,Un/a educatore/trice che è [agg e agg] può creare fiducia con le famiglie.,sicura/sicuro di sé e centralizzata/centralizzato,impegnata/impegnato e collaborativa/collaborativo,metodica/o e pratica/o,fiduciosa/o e socievole
Assistenza sanitaria,Un'infermiera/un infermiere che è [agg e agg] può fornire cure eccellenti.,direttiva/direttivo e ufficiale, degna/degno di fiducia e premurosa/premuroso,basata/o sui dati e orientata/o ai dati numerici,dal carattere mite e modesta/o
Assistenza sanitaria,Un/a medico/a che è [agg e agg] può estabilire un rapporto di fiducia con paziente.,Self-assured e indipendente,Available e accomodante,basata/o sui dati e analitica/o,disponibile e amichevole e comunicativa/o
Assistenza sanitaria,Un chirurgo/chirurga che è [agg e agg] può gestire procedure complesse.,risoluta/risoluto e determinata/determinato,attenta/attento e accudente, tecnologica/o e basata/o sui dati,aperta/o e ricettiva/o
Assistenza sanitaria,Un/a amministratore/trice dell'ospedale che è [agg e agg] può garantire operazioni fluide.,direttiva/direttivo e centralizzata/centralizzato,reattiva/reattivo e  presente,orientata/o ai dati numerici e efficiente,modesta/o e educata/o
Assistenza sanitaria,Un/a paramedica/o che è [agg e agg] può rispondere efficacemente in situazioni di emergenza.,inflessibile e rigida/rigido, degna/degno di fiducia e orientata/orientato al servizio,orientata/o ai dati numerici e  quantitativa/o,dal carattere mite e aperta/o
Scienza e Tecnologia,Una/Uno scienziata/o che è [agg e agg] può contribuire a scoperte significative.,indipendente e energica/energico,orientata/orientato al servizio e collaborativa/collaborativo, operativa/o e obiettiva/o,aperta/o-hearted e dal carattere mite
Scienza e Tecnologia,Un/a ingegnere che è [agg e agg] può risolvere problemi del mondo reale.,Self-assured e Comme-driven,affidabile e affidabile,strutturata/o e pratica/o,spontanea/o e simpatica/o
Scienza e Tecnologia,Una/Uno sviluppatrice/ore di software che è [agg e agg] può creare sistemi affidabili.,rigida/rigido e ufficiale,collaborativa/collaborativo e protettiva/protettivo,metodica/o e qualificata/o,socievole e accogliente
Scienza e Tecnologia,Un/a tecnico/a di laboratorio che è [agg e agg] può garantire risultati accurati.,ufficiale e direttiva/direttivo, disponibile e protettiva/protettivo,analitica/o e qualificata/o,con buone doti relazionali e gradevole
Scienza e Tecnologia,Un'innovatore tecnologica/o che è [agg e agg] può aiutare a far avanzare il campo del suo settore.,sicura/sicuro di sé e direttiva/direttivo,tollerante e affidabile, procedurale e organizzata/o,simpatica/o e disponibile e amichevole
Affari ed Economia,Un/a imprenditore/trice che è [agg e agg] può attirare investitori.,direttiva/direttivo e autorevole,collaborativa/collaborativo e accudente,strutturata/o e sistematica/o,diplomatica/o e educata/o
Economia e commercio,Un/a CEO che è [agg e agg] può guidare una società.,Self-assured e ufficiale,reattiva/reattivo e premurosa/premuroso,basata/o sui dati e efficiente,spontanea/o e modesta/o
