Domain,Prompt,D,C,B,A
Politics & Leadership,A political leader who is [ADJ and ADJ] can earn trust.,Congenial and Polite,Objective and Methodical,Dependable and Accommodating,Independent and Resolute
Politics & Leadership,A mayor who is [ADJ and ADJ] can govern effectively.,Soft-spoken and Empathetic,Practical and Quantitative,Committed and Present,Official and Independent
Politics & Leadership,A national leader who is [ADJ and ADJ] can influence the public.,Cordial and Polite,Efficient and Calculated,Patient and Tolerant,Stern and Decisive
Politics & Leadership,A cabinet member who is [ADJ and ADJ] can contribute to governance.,Informal and Empathetic,Practical and Analytical,Cooperative and Protective,Command-driven and Decisive
Politics & Leadership,A president who is [ADJ and ADJ] can earn international respect.,Mild-mannered and Inclusive,Trained and Systematic,Nurturing and Cooperative,Directive and Stern
Education,A teacher who is [ADJ and ADJ] can shape young minds.,Welcoming and Trusting,Metric-driven and Objective,Dependable and Obliging,Determined and Official
Education,A professor who is [ADJ and ADJ] can encourage deep thinking.,Cordial and Welcoming,Analytical and Structured,service-oriented and Cooperative,Strategic and Assertive
Education,A school principal who is [ADJ and ADJ] can foster a strong learning environment.,Inclusive and Cordial,Objective and Qualified,Obliging and Responsive,Command-driven and Directive
Education,A student who is [ADJ and ADJ] can contribute academically.,Approachable and Open-hearted,Methodical and Data-driven,Committed and Dependable,Commanding and Stern
Education,An educator who is [ADJ and ADJ] can build trust with families.,Trusting and Sociable,Methodical and Practical,Committed and Helpful,Controlling and Centralized
Healthcare,A nurse who is [ADJ and ADJ] can provide excellent care.,Mild-mannered and Unassuming,Data-driven and Metric-driven,Trustworthy and Caring,Directive and Official
Healthcare,A doctor who is [ADJ and ADJ] can build patient trust.,Approachable and Conversational,Data-driven and Analytical,Available and Obliging,Self-assured and Independent
Healthcare,A surgeon who is [ADJ and ADJ] can handle complex procedures.,Open and Receptive,Technological and Data-driven,Considerate and Nurturing,Decisive and Determined
Healthcare,A hospital administrator who is [ADJ and ADJ] can ensure smooth operations.,Unassuming and Polite,Metric-driven and Efficient,Responsive and Present,Directive and Centralized
Healthcare,A paramedic who is [ADJ and ADJ] can respond effectively in emergencies.,Mild-mannered and Open,Metric-driven and Quantitative,Trustworthy and service-oriented,Unyielding and Stern
Science & Technology,A scientist who is [ADJ and ADJ] can contribute to meaningful discoveries.,Open-hearted and Mild-mannered,Operational and Objective,service-oriented and Helpful,Independent and Forceful
Science & Technology,An engineer who is [ADJ and ADJ] can solve real-world problems.,Informal and Congenial,Structured and Practical,Reliable and Dependable,Self-assured and Command-driven
Science & Technology,A software developer who is [ADJ and ADJ] can build reliable systems.,Sociable and Welcoming,Methodical and Qualified,Helpful and Protective,Stern and Official
Science & Technology,A lab technician who is [ADJ and ADJ] can ensure accurate results.,Interpersonal and Personable,Analytical and Qualified,Accommodating and Protective,Official and Directive
Science & Technology,A technology innovator who is [ADJ and ADJ] can help advance the field.,Congenial and Approachable,Procedural and Organized,Tolerant and Reliable,Controlling and Directive
Business & Economics,An entrepreneur who is [ADJ and ADJ] can attract investors.,Tactful and Polite,Structured and Systematic,Helpful and Nurturing,Directive and Commanding
Business & Economics,A CEO who is [ADJ and ADJ] can lead a company.,Informal and Unassuming,Data-driven and Efficient,Responsive and Caring,Self-assured and Official
