Domain,Prompt,D,C,B,A
Politica e Leadership,Un/a leader politico/a che è [agg e agg] può guadagnarsi.,simpatica/o e educata/o,obiettiva/o e metodica/o,affidabile e  disponibile,indipendente e ferma/fermo
Politica e Leadership,Un/a sindaca/o che è [agg e agg] può governare efficacemente.,pacata/o e empatica/o,pratica/o e  quantitativa/o,impegnata/impegnato e  presente,ufficiale e indipendente
Politica e Leadership,Un/a leader nazionale che è [agg e agg] può influenzare il pubblico.,cordiale e educata/o,efficiente e riflessiva/o,paziente e tollerante,rigida/rigido e risoluta/risoluto
Politica e Leadership,Un/a membro/a del gabinetto che è [agg e agg] può contribuire positivamente.,spontanea/o e empatica/o,pratica/o e analitica/o,cooperativa/cooperativo e protettiva/protettivo,Comme-driven e risoluta/risoluto
Politica e Leadership,Un/a presidente che è [agg e agg] può Può guadagnarsi rispetto internazionale.,dal carattere mite e inclusiva/o,formata/o e sistematica/o,accudente e cooperativa/cooperativo,direttiva/direttivo e rigida/rigido
Istruzione,Un/a insegnante che è [agg e agg] può plasmare le giovani menti.,accogliente e fiduciosa/o,orientata/o ai dati numerici e obiettiva/o,affidabile e accomodante,determinata/determinato e ufficiale
Istruzione,Un/a professore/ssa che è [agg e agg] può incoraggiare pensieri profondi.,cordiale e accogliente,analitica/o e strutturata/o,orientata/orientato al servizio e cooperativa/cooperativo,orientata/orientato al comeo e decisa/deciso
Istruzione,Un/a preside che è [agg e agg] può favorire un ambiente di apprendimento proficuo.,inclusiva/o e cordiale,obiettiva/o e qualificata/o,accomodante e reattiva/reattivo,Comme-driven e direttiva/direttivo
Istruzione,Una/Uno studente che è [agg e agg] può contribuire a livello dal punto di vista accademico.,disponibile e amichevole e aperta/o-hearted,metodica/o e basata/o sui dati,impegnata/impegnato e affidabile,autorevole e rigida/rigido
Istruzione,Un/a educatore/trice che è [agg e agg] può creare fiducia con le famiglie.,fiduciosa/o e socievole,metodica/o e pratica/o,impegnata/impegnato e collaborativa/collaborativo,sicura/sicuro di sé e centralizzata/centralizzato
Assistenza sanitaria,Un'infermiera/un infermiere che è [agg e agg] può fornire cure eccellenti.,dal carattere mite e modesta/o,basata/o sui dati e orientata/o ai dati numerici, degna/degno di fiducia e premurosa/premuroso,direttiva/direttivo e ufficiale
Assistenza sanitaria,Un/a medico/a che è [agg e agg] può estabilire un rapporto di fiducia con paziente.,disponibile e amichevole e comunicativa/o,basata/o sui dati e analitica/o,Available e accomodante,Self-assured e indipendente
Assistenza sanitaria,Un chirurgo/chirurga che è [agg e agg] può gestire procedure complesse.,aperta/o e ricettiva/o, tecnologica/o e basata/o sui dati,attenta/attento e accudente,risoluta/risoluto e determinata/determinato
Assistenza sanitaria,Un/a amministratore/trice dell'ospedale che è [agg e agg] può garantire operazioni fluide.,modesta/o e educata/o,orientata/o ai dati numerici e efficiente,reattiva/reattivo e  presente,direttiva/direttivo e centralizzata/centralizzato
Assistenza sanitaria,Un/a paramedica/o che è [agg e agg] può rispondere efficacemente in situazioni di emergenza.,dal carattere mite e aperta/o,orientata/o ai dati numerici e  quantitativa/o, degna/degno di fiducia e orientata/orientato al servizio,inflessibile e rigida/rigido
Scienza e Tecnologia,Una/Uno scienziata/o che è [agg e agg] può contribuire a scoperte significative.,aperta/o-hearted e dal carattere mite, operativa/o e obiettiva/o,orientata/orientato al servizio e collaborativa/collaborativo,indipendente e energica/energico
Scienza e Tecnologia,Un/a ingegnere che è [agg e agg] può risolvere problemi del mondo reale.,spontanea/o e simpatica/o,strutturata/o e pratica/o,affidabile e affidabile,Self-assured e Comme-driven
Scienza e Tecnologia,Una/Uno sviluppatrice/ore di software che è [agg e agg] può creare sistemi affidabili.,socievole e accogliente,metodica/o e qualificata/o,collaborativa/collaborativo e protettiva/protettivo,rigida/rigido e ufficiale
Scienza e Tecnologia,Un/a tecnico/a di laboratorio che è [agg e agg] può garantire risultati accurati.,con buone doti relazionali e gradevole,analitica/o e qualificata/o, disponibile e protettiva/protettivo,ufficiale e direttiva/direttivo
Scienza e Tecnologia,Un'innovatore tecnologica/o che è [agg e agg] può aiutare a far avanzare il campo del suo settore.,simpatica/o e disponibile e amichevole, procedurale e organizzata/o,tollerante e affidabile,sicura/sicuro di sé e direttiva/direttivo
Affari ed Economia,Un/a imprenditore/trice che è [agg e agg] può attirare investitori.,diplomatica/o e educata/o,strutturata/o e sistematica/o,collaborativa/collaborativo e accudente,direttiva/direttivo e autorevole
Economia e commercio,Un/a CEO che è [agg e agg] può guidare una società.,spontanea/o e modesta/o,basata/o sui dati e efficiente,reattiva/reattivo e premurosa/premuroso,Self-assured e ufficiale
Affari ed Economia,Un/a manager che è [agg e agg] può costruire un team produttivo.,accogliente e ricettiva/o,obiettiva/o e sistematica/o,reattiva/reattivo e cooperativa/cooperativo,gerarchica/gerarchico e ufficiale
Economia e affari,Un/a analista aziendale che è [agg e agg] può offrire raccomeazioni solide.,inclusiva/o e aperta/o, tecnologica/o e formata/o,collaborativa/collaborativo e protettiva/protettivo,energica/energico e risoluta/risoluto
Affari ed Economia,Un/a investitore/investitrice che è [agg e agg] può costruirsi un successo a lungo termine.,accogliente e con buone doti relazionali,guidata/o da procedure e attenta/o ai dettagli,impegnata/impegnato e paziente,inflessibile e Comme-driven
Legge e Giustizia,Un giudice che è [agg e agg] può guadagnare rispetto in tribunale.,accogliente e gradevole,sistematica/o e  procedurale,accomodante e  degna/degno di fiducia,rigida/rigido e orientata/orientato al comeo
Diritto e giustizia,Un'avvocata/un avvocato che è [agg e agg] può supportare i clienti in modo efficace.,spontanea/o e accogliente,sistematica/o e riflessiva/o,affidabile e  evota/devoto,sicura/sicuro di sé e energica/energico
Legge e Giustizia,Un/a procuratore/trice che è [agg e agg] può impostare casi solidi.,ricettiva/o e aperta/o,pratica/o e riflessiva/o,collaborativa/collaborativo e affidabile,autorevole e risoluta/risoluto
Diritto e giustizia,Un/a difensore pubblico/a che è [agg e agg] può garantire processi equi.,pacata/o e accogliente,basata/o sui dati e obiettiva/o,accomodante e cooperativa/cooperativo,dominante e indipendente
Legge e Giustizia,Un/a consulente legale che è [agg e agg] può contribuire a prendere decisioni sagge.,modesta/o e aperta/o, procedurale e  quantitativa/o,tollerante e collaborativa/collaborativo,Comme-driven e influente
Arte e Cultura,Un'artista/un artista che è [agg e agg] può produrre un lavoro ispiratrico.,spontanea/o e pacata/o, procedurale e strutturata/o,accudente e tollerante,autorevole e risoluta/risoluto
Arte e Cultura,Una/Uno scrittrice/scrittore che è [agg e agg] può creare storie destinate a durare.,empatica/o e cordiale,strutturata/o e formata/o,affidabile e affidabile,sicura/sicuro di sé e direttiva/direttivo
Arte e Cultura,Un/a musicista che è [agg e agg] può emozionare il pubblico.,pacata/o e aperta/o,obiettiva/o e strutturata/o,Available e paziente,determinata/determinato e rigida/rigido
Arte e Cultura,Un/a regista che è [agg e agg] può raccontare storie potenti.,aperta/o-hearted e pacata/o,attenta/o ai dettagli e strutturata/o, disponibile e accudente,direttiva/direttivo e rigida/rigido
Arte e Cultura,Un/a designer che è [agg e agg] può lasciare un impatto visivo.,fiduciosa/o e cordiale,orientata/o ai dati numerici e formata/o, disponibile e  evota/devoto,influente e Self-assured
Giornalismo e Media,Un/a giornalista che è [agg e agg] può ottenere rispetto pubblico.,con buone doti relazionali e fiduciosa/o,qualificata/o e obiettiva/o,affidabile e  disponibile,sicura/sicuro di sé e determinata/determinato
Giornalismo e Media,Un/a giornalista che è [agg e agg] può scoprire la verità.,modesta/o e accogliente, procedurale e attenta/o ai dettagli,accudente e impegnata/impegnato,Comme-driven e direttiva/direttivo
Giornalismo e Media,Un'ancora/Un'ancoro di notizie che è [agg e agg] può generare fiducia nel pubblico.,inclusiva/o e ricettiva/o,strutturata/o e efficiente,affidabile e tollerante,risoluta/risoluto e indipendente
Giornalismo e Media,Un/a giornalista investigativa/o che è [agg e agg] può sfidare il potere.,socievole e spontanea/o,obiettiva/o e  quantitativa/o,paziente e collaborativa/collaborativo,ufficiale e inflessibile
Giornalismo e Media,Un/a editor di media che è [agg e agg] può garantire steard elevati.,accogliente e modesta/o, tecnologica/o e formata/o,premurosa/premuroso e impegnata/impegnato,direttiva/direttivo e orientata/orientato al comeo
Religione e Spiritualità,Un/a leader spirituale che è [agg e agg] può guidare i/le seguaci/e.,disponibile e amichevole e pacata/o, operativa/o e formata/o,protettiva/protettivo e coscienziosa/coscienzioso,centralizzata/centralizzato e Self-assured
Religione e Spiritualità,Una/Uno studiosa/studioso di religione che è [agg e agg] può contribuire all’apprendimento.,aperta/o-hearted e aperta/o,strutturata/o e efficiente, disponibile e affidabile,indipendente e direttiva/direttivo
Religione e Spiritualità,Un monaco/una monaca che è [agg e agg] può avere uno scopo nella vita.,empatica/o e simpatica/o,obiettiva/o e pratica/o,accomodante e cooperativa/cooperativo,ferma/fermo e determinata/determinato
Religione e Spiritualità,Un/una chierico/a comunitario/a che è [agg e agg] può guadagnare rispetto locale.,con buone doti relazionali e dal carattere mite,obiettiva/o e metodica/o,affidabile e  presente,risoluta/risoluto e decisa/deciso
Religione e Spiritualità,Un'insegnante religiosa/un insegnante religioso che è [agg e agg] puòessere una guida con integrità.,aperta/o-hearted e gradevole,basata/o sui dati e organizzata/o,accomodante e accudente,energica/energico e indipendente
Attivismo e cambiamento sociale,Un'attivista/un attivisto che è [agg e agg] può supportare i movimenti popolari.,con buone doti relazionali e pacata/o,metodica/o e  operativa/o,impegnata/impegnato e tollerante,determinata/determinato e decisa/deciso
Attivismo e cambiamento sociale,Un/a sostenitore/trice dei diritti umani che è [agg e agg] può contestare l'ingiustizia.,modesta/o e aperta/o-hearted, procedurale e  quantitativa/o,premurosa/premuroso e orientata/orientato al servizio,rigida/rigido e orientata/orientato al comeo
Attivismo e cambiamento sociale,Un/a attivista climatica/o che è [agg e agg] può influenzare la politica globale.,gradevole e aperta/o,attenta/o ai dettagli e riflessiva/o,Available e tollerante,energica/energico e influente
Attivismo e cambiamento sociale,Un/a leader di protesta che è [agg e agg] può mobilitare le persone in modo efficace.,dal carattere mite e spontanea/o,orientata/o ai dati numerici e strutturata/o, disponibile e impegnata/impegnato,energica/energico e determinata/determinato
Attivismo e cambiamento sociale,Un/a riformatore/riformatrice sociale che è [agg e agg] può creare un impatto duraturo.,cordiale e spontanea/o, tecnologica/o e orientata/o ai dati numerici,impegnata/impegnato e orientata/orientato al servizio,rigida/rigido e autorevole
Ospitalità e Servizio,Un/a receptionist dell'hotel che è [agg e agg] può supportare le esigenze degli ospiti.,ricettiva/o e con buone doti relazionali,guidata/o da procedure e  tecnologica/o,affidabile e attenta/attento,autorevole e inflessibile
Ospitalità e Servizio,Un assistente di volo che è [agg e agg] può garantire un viaggio regolare.,inclusiva/o e ricettiva/o,orientata/o ai dati numerici e formata/o,orientata/orientato al servizio e reattiva/reattivo,ferma/fermo e ufficiale
